WithoutYou,3.49620771,2.96074891,4.70885181,0.57737941,2.46940637,1.50974381,7.31989431,3.49606848,0.80864584,0.10337552,4.19178820,1.38002765,3.10399556,2.09147525,2.08058286,2.74649787,5.72317362,6.24362803,0.89843124,3.48588085,3.83184099,1.85396957,1.40165651,0.89672810,2.75359106,0.37976614,0.59820724,0.08458804,1.96345377,1.86656058,0.64522982,2.00013685,5.26632071,1.06942391,1.23164809,1.78738666,3.78646970,3.33797264,2.79367304,1.89893854,0.20013124,4.35957527,1.08314919,2.01227164,5.92319965,3.95499730,2.48411918,0.75930852,1.30826080,1.02807629,5.92374372,0.99719274,0.47183424,1.72619355,1.34549940,2.30235171,0.49230096,1.68567073,0.83108675,1.93569267,1.50885308,1.03520012,0.79209918,6.31030512,0.15950267,1.41900754,5.60000992,8.87663364,0.53544551,0.83458453,4.94720411,0.38676184,5.72789335,4.02189636,1.67801714,0.99202615,0.43124026,1.93398941,6.59037781,2.54794049,0.10575249,1.50389516,2.44383073,2.78290153,0.99005812,3.16332674,1.87523711,1.54755294,0.64124769,0.25786150,3.47891068,1.38026214,2.79475260,1.60883856,1.71255815,0.74699485,4.27565002,5.25402069,0.79819560,0.53161365
Longing,3.63218617,3.18856955,6.66693974,1.01248193,1.43160450,0.32555380,4.98291636,4.99758720,0.99383700,1.44110620,6.80875063,0.94378722,0.98576909,2.34794497,0.63863039,3.19761252,4.83832216,8.00285435,0.85865355,2.47280407,4.25019407,0.30148503,1.08979094,2.16078830,4.07003784,1.24365938,1.52525079,0.04190657,0.06305081,1.51609981,0.61174387,3.23816037,3.68328834,0.02474727,0.61603427,1.33699512,4.46690035,7.88668680,3.06686950,2.37337613,1.07816160,5.95961857,0.40357310,1.14666295,4.18056631,3.35857177,6.18605566,0.84639263,1.66833222,0.10984681,7.02030182,1.00702584,0.08281535,1.72859704,1.01333559,4.94140530,0.11509691,0.30037314,3.22640872,4.66157866,6.36148024,1.35704172,0.98058689,7.35295916,0.12437186,2.29261470,4.48086023,9.43017006,1.08102667,3.69026279,4.48764563,1.49677086,7.82662773,2.30711651,0.91980237,4.40468502,2.22180319,2.13126826,3.51539969,2.57602143,1.88037038,3.87906933,1.11281431,4.16091490,1.02024436,2.82454395,1.76123989,4.51895285,2.13604569,0.36395806,1.60260439,0.08086024,4.40785456,0.22668700,0.47160435,1.73284423,1.81198239,5.70016289,0.82174796,1.07976615
SilentJealousy,2.59143114,1.08521068,5.96609688,0.08526544,0.00980226,0.59496576,12.14384747,8.40656281,0.15141097,0.00000000,4.34065771,0.41237202,11.37739182,2.30408645,1.29668629,2.13059163,3.54925227,3.26477790,0.11281541,0.02396536,3.49126577,0.54850042,1.15087044,0.00307942,7.30679178,0.60425937,0.50944752,4.36817694,0.00000000,0.32832563,0.00000000,0.00900727,5.21073294,0.01265252,0.17514516,0.03678329,3.93065667,0.65127778,2.28703284,0.85298651,0.30223832,0.00000000,0.03665669,1.80626583,6.20682335,3.11757159,0.70314080,0.00000000,2.34468794,0.21482906,1.21863651,0.33228990,2.02146029,0.00037926,0.00304075,2.87512684,0.25758499,2.39574027,0.99140394,0.63236082,1.66301918,0.00356610,5.66618109,1.71683931,0.00000000,0.35095629,1.51327682,6.49380684,0.06926856,0.00000000,9.02623940,1.63378036,3.43519425,0.04344505,0.24555187,2.06752086,1.72081661,2.42099380,5.62488413,1.27914906,1.81889451,0.22634508,1.25925231,5.46501589,0.01855707,2.15079832,1.56932425,0.00000000,0.04664846,0.00000000,1.13379216,5.41897631,0.10815176,2.13039875,4.06202316,0.51105392,1.14449739,2.95485616,0.00994993,8.79959011
EndlessRain,1.22499013,3.35463905,4.61240673,1.05437434,0.72828442,1.81269813,3.04700875,4.13666534,0.39147896,1.32987165,4.39468431,0.80032784,1.71787572,1.98886704,2.56120038,1.13855493,5.87047672,4.84067726,3.03614283,1.47900558,3.79690409,0.38326606,1.64289904,2.51883292,3.22575521,1.40524220,1.01666379,0.12843797,0.48867655,0.85050368,1.22943318,4.58873034,4.89118099,0.20574529,0.39497763,1.22192562,5.83694267,4.28251171,1.95973265,0.77634746,0.39525828,3.97199440,0.65334785,1.01229823,4.85416031,3.05856061,2.93179369,2.24556518,1.13444376,0.17698684,3.06782532,1.86618662,0.16519336,1.70214224,1.22967494,1.12875795,0.38721555,0.32849923,2.75196218,4.74637270,2.30340219,1.31927669,0.49432501,9.24586201,0.02661580,2.96494484,2.62025833,3.22344971,1.50555515,3.21895981,4.85325956,0.04098391,5.46177769,2.77129316,0.31633601,1.08122075,1.72864532,0.40076956,5.67071199,0.49632874,1.80780184,3.90858936,1.87776327,2.50315428,1.89354944,3.03092742,1.17805994,3.08212209,0.39220718,0.57117474,2.10500455,0.44203508,2.01175547,0.86928308,0.22374503,1.21043229,0.46877250,1.91530955,0.96021432,1.88870394
K_p2,3.69361973,2.45547152,4.53530884,1.04870558,0.08705270,0.25005832,10.24825287,6.12024403,1.03776312,1.11381984,3.05822968,0.45916373,7.94973993,1.91315901,2.31208396,2.42330098,2.55951548,1.48682320,1.81348264,0.41564122,3.76127219,0.37106344,1.34739554,0.35120732,3.43947053,0.36855444,0.54823822,2.53250360,0.03371928,0.40842909,0.06739323,0.24073730,5.04725790,0.04962185,0.09617440,1.52176356,4.05615187,2.51444340,0.49619767,1.19773149,1.87793338,0.12089858,0.52039284,2.04876590,5.01784945,2.67992163,0.27642244,0.04952050,2.47705293,1.09424531,0.91084152,0.21052168,1.77880049,0.70690149,0.02696427,3.74933195,0.61586684,2.72740865,0.70606267,0.57178205,0.96155065,0.00000000,5.18222713,3.45310664,0.23447570,0.40368709,2.31634521,5.94164944,0.17854306,0.62076056,8.60369015,2.50103235,1.87964225,0.02130417,0.94362336,3.31470370,1.28761911,3.69766617,3.63436437,0.46515957,2.17018366,0.53179449,1.34134638,4.02119732,0.19017778,1.78366959,2.69397187,1.05278194,0.20458643,0.28510144,1.67197454,3.08884478,0.40087011,0.88849372,4.42941189,1.29683197,2.26801944,2.81906080,0.41209787,7.19135046
Dahlia,2.00419617,0.63249928,6.75824833,0.06474113,0.00000000,0.00361234,8.03176117,9.02649784,0.03574182,0.02016618,4.81229877,0.08142606,12.54583740,0.41073799,1.53592598,0.68847853,3.44260645,3.85138321,0.01312318,0.09239408,1.48731065,0.25299543,0.46714079,0.00000000,4.60164022,0.02374577,0.79223204,2.61753964,0.00000000,0.21644115,0.00000000,0.00000000,1.61758983,0.00000000,0.01282076,0.00875981,3.71393037,1.15797341,0.70212024,1.18696940,0.97794515,0.01096643,0.00195642,0.34392619,6.50414371,4.46185637,1.75068414,0.00000000,2.57744455,0.53043097,1.76364768,0.00133217,3.38553333,0.00000000,0.00000000,3.88896585,0.10831526,1.59422839,0.13491501,0.30277491,2.12980533,0.00000000,8.52781200,1.41233325,0.00000000,0.02696396,0.58644950,9.44897366,0.00227957,0.00000000,4.09889507,3.39864302,3.87588549,0.38423055,0.76128036,3.07989812,1.12411690,2.63272047,1.56004047,0.10036514,2.41201091,0.09017078,0.09434012,5.99279547,0.00000000,2.68664336,0.88412488,0.59305155,0.80288583,0.00000000,0.21079095,2.21965551,0.06214563,0.34699968,1.68915713,0.40315697,1.35824156,5.15994263,0.00000000,18.28271675
ForeverLove,1.14881194,2.24863029,5.59016609,0.80469805,1.12855756,0.43022174,7.84649706,6.37531471,2.08233094,0.20573537,5.12987185,0.88014978,3.77127790,1.80998909,1.44937468,0.05276535,6.07293749,4.80995655,0.60961580,2.29215646,6.09555340,0.24177313,2.54028559,2.19858360,6.55513000,0.50851345,0.96640939,1.01316476,0.13366751,1.24042833,0.16910955,0.49075469,4.09701681,0.41271815,0.50354594,0.60736197,6.51765728,2.32270670,2.98628616,0.90680557,0.00520802,3.43028808,2.31710720,0.78903449,9.10197353,3.74211121,0.65088075,0.50599581,0.41138136,0.83692729,3.99754763,0.37865499,0.72900933,0.91412735,0.93435287,1.46743226,0.39656821,1.68840897,1.81631351,3.03436995,1.43772638,0.49399462,0.79499257,6.69996595,0.02316299,0.48441881,3.89580989,4.10010719,0.04156531,0.03156491,6.20461798,0.23877192,4.96225214,1.53811073,3.13091278,0.78246266,1.21328795,1.48066151,4.74070644,1.43975818,1.04066598,0.14100517,4.06838465,5.00971556,1.46213472,2.49736500,0.75090182,0.69942844,1.03803837,0.00896716,3.23601174,3.13650370,1.73254216,5.29024363,0.84691703,1.50504100,2.57945061,5.51021910,0.09650879,1.27114213
TheLastSong,2.59743404,1.55261064,6.50678587,0.91165817,0.03642181,0.25066912,10.07798004,6.56764364,0.72590476,0.61823601,3.54060745,0.78760499,4.97208691,2.41994524,1.94396579,1.54685473,3.34653211,5.87072897,1.06407452,0.24165379,5.64417028,0.08471236,1.93140352,2.60713911,4.67150736,0.63558507,1.55958521,1.59210312,0.10816564,0.45224747,0.18369801,1.11332202,5.82439089,0.18856698,0.14442644,0.14141275,5.47898483,5.10305643,1.49476600,1.11958098,0.35202223,0.71985286,1.24073863,1.62242782,7.21652555,4.46790886,2.24035978,1.29650867,1.76145995,0.71229702,2.92522812,1.64468157,0.70810181,1.08424485,0.20326746,3.15766478,0.36547983,2.27123165,1.25247276,1.26254499,1.16298759,0.25755480,3.40116000,4.16434717,0.03420821,0.91900492,2.89891672,6.95718765,0.43388835,0.08909497,8.27284241,0.54474491,1.76126206,0.81290001,1.82859778,2.15090799,1.23303354,2.45014143,7.11750269,0.45717549,1.50166774,0.70544207,2.57231164,3.76299572,0.97896737,3.12389374,1.57692730,1.07415414,0.89565164,0.10521580,2.54468036,3.02097774,1.55614352,1.73417008,2.78699899,1.51766503,1.46558475,4.98858690,0.58508974,2.54828858
SayAnything,1.06977892,1.33899331,5.67365074,0.50352526,0.01056071,1.18282294,4.69386101,8.90960121,1.40759730,0.45992756,4.51792431,1.59951699,4.98468733,1.45257211,2.90618491,0.04678074,6.09235716,3.48562264,0.75240546,0.84656495,3.76354909,0.12362169,2.65835786,1.13347542,5.68864059,0.19536479,0.54603076,1.00413167,0.00115773,1.18566430,0.00000000,0.14828932,2.13811874,0.08033407,0.15588793,0.03237059,5.63028002,3.33049226,1.23896432,1.73268878,0.23741189,0.60628939,0.77555120,0.49884018,6.66182137,3.40364861,1.37555897,0.31824380,1.85956907,1.60355520,2.47309089,0.08443813,1.38316679,0.60546005,0.25188848,1.19618213,0.64878958,0.72504485,4.02754164,3.01990652,1.24953926,0.28689420,1.80278480,4.81128407,0.00000000,0.21297196,0.59332585,3.94240952,0.00000000,0.12062288,3.04865360,1.62546372,3.22423720,2.49669433,1.37416065,2.36868334,1.08733785,2.84727883,3.58054805,0.78228247,2.16914487,0.29715210,2.04093003,5.33248138,0.72318953,2.33123708,0.28221965,0.11112621,0.29939383,0.00924930,0.78214180,5.51585340,0.67608130,4.62067747,0.55916321,1.33734488,0.66919672,3.49760747,0.62220240,4.46480513
Unfinished,2.99713731,2.63295388,5.18728352,0.49261194,0.11776599,1.52792525,10.69112968,6.05884552,0.65944481,1.32574522,4.43900919,1.35521185,5.46959019,3.12436819,2.41623497,2.22465920,4.23221302,3.75731373,1.92761493,1.15187347,5.20594835,0.46339715,2.96553993,0.77453619,5.64807129,0.34793660,0.13503233,1.61996853,0.48717421,1.15853775,0.00277502,0.76382995,5.78809738,0.14134276,0.18630977,0.26737061,6.19009638,2.65099740,1.18514454,1.63489974,0.70896190,0.46448460,0.49415424,1.02170801,7.14139843,3.06618500,0.26105008,0.54027402,0.31382662,0.21300630,2.81884336,0.70297378,0.96234983,1.35186994,0.33653355,2.19972491,0.76955432,1.55117881,2.13189292,2.63011694,1.79675615,0.51859266,2.94858432,5.63363028,0.06084787,0.38423496,1.71348143,4.04433393,0.67801726,0.99653232,7.06147575,1.26728368,3.42262721,2.56124115,1.04454672,1.33024633,0.98507154,4.31557274,7.84062386,1.69744980,1.36929524,0.54341364,1.89555871,4.72658873,1.15818167,2.15374327,1.38181448,0.37270740,0.58741558,0.02169774,0.86496228,2.86623263,2.15181828,2.79421425,3.34853745,1.32787275,1.52849972,2.56186223,0.86542022,2.14867640
